tvId,userId,rating
86848,1595,6
86848,1595,6
4588,1576,10
4588,668,8
100010,669,10
108255,1594,10
65844,1524,8
82428,673,10
82428,673,10
72705,674,8
54344,675,10
2730,1576,10
62017,677,6
62017,678,9
62017,1576,4
92830,727,6
92830,1595,4
92830,1576,1
84669,1461,9
90937,1542,7
83867,692,1
83867,693,10
83867,1456,8
83867,696,8
83867,692,1
83867,693,10
83867,1456,8
83867,696,8
85948,697,1
85948,1279,10
1437,1243,10
82684,1524,10
82684,1312,3
123548,907,4
61864,705,10
123249,706,8
88396,923,6
88396,727,6
88055,923,9
99071,1524,1
99071,1312,7
114477,1312,9
60833,714,10
60833,1524,7
26867,1524,5
67744,1595,5
67744,718,5
30991,1524,10
3414,1576,10
30991,1524,10
3414,1576,10
4624,1542,8
85922,724,7
85922,740,5
85922,1464,3
92782,727,6
92782,728,9
91557,730,4
105248,1250,4
2490,1559,5
152483,1312,1
2490,1559,5
152483,1312,1
43865,1154,7
61671,1542,8
97186,740,6
80986,740,8
80986,1542,9
80986,742,4
61599,928,8
2284,1542,8
2284,1290,6
76874,1542,8
32868,747,9
65495,920,8
97525,1154,10
61664,830,10
45782,752,10
433,755,8
433,1576,10
433,755,8
433,1576,10
71578,1594,10
71578,758,8
100565,1467,8
60808,1524,10
1769,762,8
81046,1312,1
81046,1312,1
2913,1570,10
2913,1576,1
42272,1542,8
5148,1456,8
42272,1542,8
5148,1456,8
45666,773,10
91239,1542,9
2474,1594,7
16997,1576,10
105971,777,8
61663,778,10
209275,1500,10
1346,780,10
80213,1576,1
85720,1542,7
80213,1576,1
85720,1542,7
10268,1594,9
80006,788,1
135251,1576,10
44549,1243,6
4734,1588,4
5895,794,10
4734,1588,4
5895,794,10
114922,1595,5
114922,826,4
114922,797,7
1922,1352,7
19614,799,4
19614,966,8
77236,1592,8
95396,802,9
64228,1561,1
64228,1290,7
64228,1576,1
51704,866,6
51704,1576,10
42295,1576,1
4266,1243,9
72844,938,8
72844,813,8
72844,1436,4
81499,1286,7
81499,1576,1
98986,1312,10
202099,1595,5
71024,1542,8
89572,1576,1
71116,1436,4
71116,824,7
61457,1594,7
81144,826,2
88367,1576,10
203805,1312,2
203805,830,6
61223,1524,4
74577,1286,1
73671,1595,5
108296,1595,3
108296,1576,1
3797,1243,8
66558,1576,10
120911,1595,4
120911,1456,7
72597,840,6
72597,1576,5
34967,842,5
65988,1542,9
609,847,10
609,1576,10
609,1352,8
1126,850,5
21728,1576,10
24710,1290,7
67070,1559,1
67070,855,9
100757,1542,8
39775,1576,10
71769,860,6
71769,861,9
89247,1542,7
849,1352,8
43020,865,10
43020,866,6
97175,1542,8
109939,904,10
109939,1595,2
65493,1542,9
208067,1312,6
91425,1290,8
21561,1576,10
157744,1077,6
87093,1542,9
1457,1594,8
1457,1145,10
83659,1436,8
308,1145,2
94305,1228,1
94305,1569,2
47663,1595,4
16399,1576,4
221300,1077,4
221300,1595,4
72755,1260,4
111141,1455,9
111141,1455,9
64387,1286,4
2391,892,10
2391,893,8
2391,1576,10
93846,1500,9
3470,1576,10
83251,1436,9
2299,1576,1
66551,1522,7
117376,900,10
81355,1594,9
79732,1576,1
106541,1595,3
106541,904,1
3793,1290,7
81983,1576,1
118956,907,8
112613,1286,6
197067,910,10
197067,1455,9
82782,1542,7
82782,1542,7
214582,1436,10
5133,1576,10
135934,1312,4
971,1576,10
126,1576,10
62823,920,8
62823,1576,1
79788,922,9
79788,923,10
79788,1541,9
520,1576,10
42951,926,8
62505,1594,10
11095,928,7
90669,1595,4
90669,1077,8
90669,1136,4
90669,1259,7
90669,1456,8
3090,937,10
84661,938,5
84661,1541,7
154743,1155,10
154743,1155,10
5084,1068,7
5084,1352,1
91977,944,10
91977,945,8
91977,1542,7
79622,1576,1
110695,1464,9
62126,949,9
62126,950,10
62126,1542,9
155537,952,7
82873,953,9
89456,954,9
207863,1576,2
82149,1595,9
139798,1436,10
81357,1586,8
2102,1576,10
84977,1594,9
3266,966,1
125910,967,9
96658,1542,7
96658,1576,1
112063,970,8
115004,1594,8
75191,1594,7
69061,979,8
69061,1436,10
69061,1436,10
69061,1259,8
68708,1576,1
75191,1594,7
69061,979,8
69061,1436,10
69061,1436,10
69061,1259,8
68708,1576,1
210704,1595,8
75123,1467,8
63663,1524,4
90447,1500,10
99654,1467,10
125816,1529,10
202297,1576,10
118821,1154,4
38852,993,1
38852,1588,4
38852,1533,10
41875,1542,9
106148,1595,6
96580,1077,7
86423,999,5
1427,1559,1
79340,1559,6
62974,1002,8
208336,1595,8
4615,1576,10
67135,1436,6
111255,1154,4
4576,1008,10
2382,1008,9
59659,1009,8
59659,1020,10
45997,1524,10
136368,1595,4
83135,1013,6
83135,1576,1
73602,1542,8
61888,1286,4
74387,1395,9
80335,1586,8
1992,1576,8
129888,1020,10
1802,1576,10
95665,1464,5
111800,1024,1
111800,1595,5
111800,1026,1
38603,1524,9
97860,1524,1
97860,1524,1
66292,1405,9
80828,1542,8
39279,1243,6
61986,1475,9
10370,1576,10
1894,1035,10
111837,1576,1
105797,1542,6
126035,1455,7
126035,1588,2
58704,1044,9
58704,1044,9
94693,1524,7
95202,1595,10
66671,1594,5
82104,1542,7
70573,1365,9
195241,1595,9
156819,1595,4
99631,1055,10
63522,1576,10
99631,1055,10
63522,1576,10
93392,1287,7
62425,1542,8
66023,1475,7
93785,1436,10
64464,1576,10
58811,1436,4
126027,1576,4
82001,1246,10
82001,1542,8
71809,1542,9
72339,1576,10
80795,1071,8
217945,1506,1
113808,1073,2
66190,1542,9
78385,1075,10
127948,1077,5
3556,1078,9
60831,1524,7
14956,1080,8
79410,1081,10
68799,1594,7
214999,1083,9
97400,1084,6
39362,1576,1
211747,1086,10
211747,1595,4
62474,1594,9
122978,1131,6
122978,1588,2
128098,1595,4
128098,1576,1
34791,1524,8
2328,1542,9
2328,1095,6
96608,1586,4
137040,1595,4
137040,1099,9
137040,1436,7
111111,1542,9
862,1576,8
862,1576,8
14755,1576,10
93484,1542,9
86382,1576,1
62285,1542,9
62285,1576,10
2586,1352,9
96203,1154,4
76560,1153,10
2264,1576,10
63145,1524,10
10840,1253,7
92579,1524,8
81559,1436,8
81559,1436,8
69017,1120,9
69017,1542,8
69017,1122,10
98161,1123,9
64165,1250,6
79525,1126,9
4521,1576,10
88,1594,9
78798,1131,8
88,1594,9
78798,1131,8
65930,1133,10
65930,1524,8
203857,1136,7
203857,1594,9
86850,1542,4
86850,1541,8
70767,1140,1
9045,1576,10
66859,1143,8
18653,1243,8
57092,1145,8
111616,1149,10
111616,1149,10
111616,1149,10
72787,1541,7
66433,1500,8
60732,1312,8
69459,1153,10
124396,1154,4
43232,1155,3
70649,1500,9
86163,1594,7
79130,1436,8
61859,1405,8
90972,1228,1
90972,1162,10
90972,1163,10
14613,1164,7
85427,1575,8
85427,1575,8
210269,1574,8
7317,1168,8
128113,1595,3
128113,1595,3
93292,1576,1
84231,1173,10
84231,1173,10
72745,1594,8
79618,1176,7
79618,1176,7
66310,1357,4
2973,1540,9
76148,1594,10
76148,1569,8
76148,1576,10
67639,1595,10
2973,1540,9
76148,1594,10
76148,1569,8
76148,1576,10
67639,1595,10
68106,1542,8
34105,1189,1
1063,1524,10
158258,1506,2
429,1594,8
66276,1217,5
126725,1576,1
126725,1199,5
106734,1595,5
19654,1576,10
128071,1576,1
203178,1576,10
72925,1576,1
64396,1206,8
81349,1594,7
81349,1208,5
128066,1595,4
79649,1210,5
111625,1542,7
111625,1212,8
93693,1575,2
93693,1575,2
92983,1500,8
46849,1217,1
380,1218,10
210,1576,10
210905,1506,6
84380,1436,9
84380,1436,9
211261,1595,8
75663,1224,10
214997,1226,10
214997,1226,10
84154,1542,8
70390,1228,3
88052,1575,10
220374,1595,6
224387,1595,4
224387,1576,1
224387,1235,1
1469,1576,1
120168,1237,4
126167,1594,9
84181,1586,6
134865,1241,1
3275,1243,8
63867,1250,8
69889,1246,10
89959,1249,10
94659,1250,6
94659,1597,9
105511,1312,10
5273,1253,6
5273,1576,10
1772,1586,10
19997,1501,4
86340,1259,8
62433,1260,2
62127,1261,1
62127,1262,6
62127,1264,2
62127,1542,8
84896,1266,7
135897,1588,5
66911,1270,8
88239,1575,6
66911,1270,8
88239,1575,6
124426,1588,4
60834,1524,6
62404,1274,7
9687,1275,10
114395,1588,2
33155,1277,6
229153,1279,9
229153,1279,9
204541,1595,4
204541,1281,10
65592,1282,1
130273,1594,9
130273,1595,7
1097,1524,7
73200,1286,5
70613,1575,5
76758,1524,9
593,1290,3
13781,1576,10
4237,1576,10
4237,1576,10
71365,1576,10
84647,1575,8
84647,1542,3
32836,1298,10
86752,1542,4
86752,1569,2
2342,1301,7
135868,1595,9
113477,1558,1
70384,1305,8
108291,1588,3
81927,1307,10
553,1542,8
85519,1309,10
99048,1500,9
92875,1594,7
157842,1312,8
202864,1569,2
13892,1594,9
202237,1319,7
13892,1594,9
202237,1319,7
17039,1588,4
93289,1324,2
15826,1325,10
83181,1327,8
83181,1327,8
121710,1595,1
95638,1569,2
95638,1569,2
157061,1331,8
91962,1576,1
92602,1524,4
4379,1576,10
68598,1336,10
3068,1337,5
127356,1588,3
78796,1342,10
119180,1542,9
100412,1542,7
78796,1342,10
119180,1542,9
100412,1542,7
51019,1456,8
51019,1576,10
76819,1541,5
60605,1594,7
13851,1351,10
13851,1351,10
96734,1352,3
4045,1576,10
46638,1357,4
46638,1358,10
46638,1357,4
46638,1358,10
218344,1360,10
218344,1594,10
120317,1594,7
120317,1594,7
65566,1364,9
66939,1365,1
99962,1594,8
86343,1367,5
34965,1542,9
210702,1595,8
34965,1542,9
210702,1595,8
66647,1586,8
94587,1542,8
102905,1586,4
132979,1588,4
751,1377,10
205568,1378,9
47084,1500,8
86941,1559,9
107968,1456,5
112202,1383,10
112202,1383,10
237311,1594,8
129475,1588,6
70540,1405,8
70540,1405,8
89642,1588,5
113710,1500,10
98198,1542,8
98198,1391,5
121509,1542,8
4585,1395,7
121509,1542,8
4585,1395,7
82578,1542,8
110545,1588,2
44807,1399,10
203698,1455,9
203698,1455,9
93736,1402,9
93736,1515,9
12504,1576,10
5885,1405,7
46434,1541,9
98187,1542,7
89498,1576,1
98187,1542,7
89498,1576,1
83381,1436,5
37664,1436,8
37664,1436,8
43899,1576,10
220499,1594,10
110533,1425,8
110533,1425,8
110533,1588,3
110533,1425,8
110533,1425,8
110533,1588,3
35430,1594,7
71887,1542,8
93870,1595,4
119191,1594,6
119191,1595,5
79948,1542,7
119464,1588,6
206010,1595,3
90755,1436,8
126484,1588,2
103506,1586,8
3035,1542,8
88378,1542,9
35278,1588,5
72792,1443,2
72792,1575,9
83605,1445,8
125437,1588,3
107005,1576,1
40016,1588,3
93286,1594,8
80443,1541,8
80443,1452,9
204241,1455,2
61828,1456,9
204241,1455,2
61828,1456,9
107422,1569,2
69284,1461,10
69864,1586,6
133700,1595,3
71373,1464,7
4548,1594,10
4548,1594,10
152471,1588,5
84464,1471,8
84464,1471,8
156240,1474,4
76954,1475,7
130077,1569,2
205040,1595,8
70721,1541,8
94940,1588,4
154535,1569,2
12662,1576,6
136735,1595,4
136735,1595,4
131028,1588,4
68000,1576,1
19215,1576,1
19215,1576,1
96262,1588,4
119772,1595,6
47179,1500,10
1867,1501,5
47179,1500,10
1867,1501,5
96161,1588,3
129418,1569,4
96231,1567,7
136973,1506,8
81700,1569,2
81241,1513,1
81241,1515,8
81241,1516,6
81241,1517,5
81241,1513,1
81241,1515,8
81241,1516,6
81241,1517,5
34531,1576,1
137520,1588,4
118189,1595,4
72544,1522,6
56834,1524,4
113965,1588,3
106761,1595,7
38932,1588,3
203728,1529,10
203728,1529,10
5632,1542,7
135918,1569,2
15135,1588,5
15135,1533,10
76305,1586,8
119466,1588,4
71714,1537,6
71714,1537,6
80707,1538,3
43228,1539,10
1180,1540,10
72744,1541,7
99356,1542,8
80540,1543,1
212869,1544,6
212869,1576,10
72313,1569,10
39606,1588,4
88850,1586,6
69533,1594,10
69533,1594,10
116500,1597,6
116500,1594,7
18156,1594,10
100941,1588,4
100941,1588,4
113627,1558,1
113627,1558,1
96628,1559,1
3127,1576,10
3607,1561,8
57788,1588,5
47096,1564,10
137127,1594,7
85958,1567,5
114183,1569,2
118815,1569,2
2824,1570,10
132922,1572,10
132922,1572,10
231811,1574,7
95041,1575,8
71725,1576,10
75814,1586,8
126436,1588,1
104999,1586,2
127527,1588,3
111573,1583,9
111573,1583,9
129479,1588,4
129479,1588,4
96129,1586,6
74076,1588,4
116179,1595,8
116179,1595,8
79928,1592,8
70112,1594,10
37602,1597,7
37602,1597,7
