name,id,tags
Can't Buy Me Love,216578,Drama  young man gets caught deadly plot rich woman pays devastating cost free creating debt binds 4.0    
Family Guy,1434,Animation Comedy  Sick twisted politically incorrect Freakin Sweet animated series featuring adventures dysfunctional Griffin family Bumbling Peter long suffering Lois kids Stewie brilliant sadistic baby bent killing mother taking world Meg oldest unpopular girl town Chris middle kid bright passion movies final member family Brian talking dog pet keeps Stewie check whilst sipping Martinis sorting life issues 7.297  Seth MacFarlane  
Timeless Love,217216,Drama Soap  Catarina embarks dangerous journey find mother vanish Torres family obvious suspect Vasco love Catarina life opposed sides connected love 6.719  Inês Gomes  
Supernatural,1622,Drama Mystery Sci-Fi & Fantasy  boys Sam Dean Winchester lost mother mysterious demonic supernatural force Subsequently father raised soldiers taught paranormal evil lives dark corners roads America taught kill Winchester brothers crisscross country Chevy Impala battling kind supernatural threat encounter way 8.303  Eric Kripke  
De Bondgenoten,235493,Reality   7.0    
Here it all begins,112470,Soap   6.817  Coline Assous Eric Fuhrer Othman Mahfoud  
Squid Game: The Challenge,204082,Reality  Immersed world Squid Game real players skills character ultimate test life changing million prize 6.094    
MasterChef India,33982,Reality  Indian version competitive cooking reality series 5.167    
Fargo,60622,Crime Drama  close knit anthology series dealing stories involving malice violence murder based Minnesota 8.3  Noah Hawley  
Game of Thrones,1399,Sci-Fi & Fantasy Drama Action & Adventure  Seven noble families fight control mythical land Westeros Friction houses leads scale war ancient evil awakens farthest north Amidst war neglected military order misfits Night Watch stands realms men icy horrors 8.442  David Benioff D.B. Weiss  
Doctor Who,57243,Action & Adventure Drama Sci-Fi & Fantasy  Doctor Time Lord year old alien hearts gifted civilization mastered time travel Doctor saves planets living hobby actually Doctor good 7.5  Sydney Newman Donald Wilson C. E. Webber  
Wednesday,119051,Sci-Fi & Fantasy Mystery Comedy  Wednesday Addams sent Nevermore Academy bizarre boarding school attempts master psychic powers stop monstrous killing spree town citizens solve supernatural mystery affected family years ago navigating new relationships 8.526  Miles Millar Alfred Gough  
Berserk of Gluttony,213331,Animation Sci-Fi & Fantasy  Fate Graphite born world magical skills shape destiny skill Gluttony seemingly useless curse unending hunger left shunned looked day takes life thief true power awakens devour skill kills feed appetite learn control gruesome ability better 5.7    
Midsomer Murders,764,Crime Drama Mystery  peacefulness Midsomer community shattered violent crimes suspects placed suspicion veteran DCI young sergeant calmly diligently eliminate innocent ruthlessly pursue guilty 7.624  Anthony Horowitz Caroline Graham  
Law & Order: Special Victims Unit,2734,Crime Drama Mystery  criminal justice system sexually based offenses considered especially heinous New York City dedicated detectives investigate vicious felonies members elite squad known Special Victims Unit stories 7.957  Dick Wolf  
Suits,37680,Drama  running drug deal gone bad Mike Ross brilliant young college dropout slips job interview New York City best legal closers Harvey Specter Tired cookie cutter law school grads Harvey takes gamble hiring Mike spot recognizes raw talent photographic memory 8.211  Aaron Korsh  
Star Academy,12409,Reality  Star Academy French reality television produced Dutch company Endemol consists contest young singers spawned equally successful Quebec called Star Académie broadcast end season selected contestants tour France Morocco Switzerland Belgium Tunisia French speaking countries 6.6    
Criminal Minds,4057,Crime Drama Mystery  elite team FBI profilers analyze country twisted criminal minds anticipating moves strike Behavioral Analysis Unit experienced agent David Rossi founding member BAU returns help team solve new cases 8.321  Jeff Davis  
Innovator,236158,   0.0    
American Dad!,1433,Animation Comedy  series focuses eccentric motley crew Smith family housemates Father husband breadwinner Stan Smith better half housewife Francine Smith college aged daughter Hayley Smith high school aged son Steve Smith Outside Smith family additional main characters including Hayley boyfriend turned husband Jeff Fischer family man goldfish body pet Klaus notably family zany alien Roger masquerades brazenness shocking antics 6.959  Seth MacFarlane Mike Barker Matt Weitzman  
Friends,1668,Comedy  young people New York City struggling survive real world find companionship comfort support perfect antidote pressures life 8.44  Marta Kauffman David Crane  
Castle,1419,Drama Crime  serial killer imitates plots novels successful mystery novelist Richard Rick Castle receives permission Mayor New York City tag NYPD homicide investigation team research purposes 8.015  Andrew W. Marlowe  
Young Hearts,14424,Soap  Malhação Brazilian television series teenage audience soap started set fictional Gym Club called Malhação Barra da Tijuca Rio de Janeiro years location varied slightly soap remains set Múltipla Escolha High School 5.6  Andréa Maltarolli Emanuel Jacobina  
Yellowstone,73586,Western Drama  Follow violent world Dutton family controls largest contiguous ranch United States Led patriarch John Dutton family defends property constant attack land developers Indian reservation America National Park 8.183  John Linson Taylor Sheridan  
Alice in Borderland,110316,Drama Mystery Action & Adventure  friends video game obsessed young man finds strange version Tokyo compete dangerous games win 8.185  Yoshiki Watanabe Yasuko Kuramitsu  
House,1408,Drama Mystery  Gregory House drug addicted unconventional misanthropic medical genius leads team diagnosticians fictional Princeton Plainsboro Teaching Hospital New Jersey 8.597  David Shore  
Great Minds,132544,Talk Documentary   3.714    
Nothing to See Here,237983,Comedy  aspiring blind comedian goes dreams best friend cerebral palsy world matter runs 8.146  Santiago Limón Big Drama  
Lang Leve de Liefde,136166,Reality   6.0  John de Mol  
Doctor Who,121,Action & Adventure Drama Sci-Fi & Fantasy  adventures Doctor time traveling humanoid alien known Time Lord explores universe TARDIS sentient time traveling spaceship exterior appears blue British police box common sight Britain series aired succession companions Doctor faces variety foes working save civilizations help ordinary people right wrongs 7.9  Sydney Newman Verity Lambert Donald Wilson C. E. Webber  
Gran hermano,225553,Reality   0.0    
Rigo,236873,Drama   8.373    
The Good Doctor,71712,Drama  Shaun Murphy young surgeon autism savant syndrome relocates quiet country life join prestigious hospital surgical unit Unable personally connect Shaun uses extraordinary medical gifts save lives challenge skepticism colleagues 8.501  David Shore  
Wagle Ki Duniya,119316,Comedy Drama Family  generations family live share happiness sorrows Follow story family bring laughter lives heart melt new generation old critically acclaimed roller coaster ride emotions 7.75  Aatish Kapadia JD Majethia  
Star Trek: The Next Generation,655,Sci-Fi & Fantasy Action & Adventure Drama Mystery  Follow intergalactic adventures Capt Jean Luc Picard loyal crew aboard new USS Enterprise explore new worlds 8.35  Gene Roddenberry  
Star Trek,253,Sci-Fi & Fantasy Drama  Space Final Frontier Enterprise embarks year mission explore galaxy Enterprise command Captain James Kirk Officer Spock planet Vulcan determined crew Enterprise encounters Klingons Romulans time paradoxes tribbles genetic supermen led Khan Noonian Singh mission explore strange new worlds seek new life new civilizations boldly man gone 8.073  Gene Roddenberry  
Bones,1911,Crime Drama  Temperance Brennan colleagues Jeffersonian Medico Legal Lab assist Special Agent Seeley Booth murder investigations remains badly decomposed burned destroyed standard identification methods useless 8.263  Hart Hanson  
House Hunters,6480,Reality Documentary  Hosted Suzanne Whang takes viewers scenes individuals couples families learn look decide home meant Focusing emotional experience finding purchasing new home episode follows prospective buyer real estate agent home buying process start finish 5.3    
Lucifer,63174,Crime Sci-Fi & Fantasy  Bored unhappy Lord Hell Lucifer Morningstar abandoned throne retired Los Angeles teamed LAPD detective Chloe Decker criminals longer away underworld greater threat worst humanity escape 8.482  Tom Kapinos  
The Queen of NEWS,226197,Drama  drama Queen NEWS highly watched PM news report battleground news anchors news department seasoned anchors Man Wai sum Leung Ging yan split factions vying spot Wen causes stir eventually climbs corporate ladder vacancy prime time female anchor sparks series storms 9.0  Chung Shu-Kai  
The Flash,60735,Drama Sci-Fi & Fantasy  particle accelerator causes freak storm CSI Investigator Barry Allen struck lightning falls coma Months later awakens power super speed granting ability Central City like unseen guardian angel initially excited newfound powers Barry shocked discover meta human created wake accelerator explosion new powers good Barry partners Labs dedicates life protect innocent close friends associates know Barry literally fastest man alive wo long world learns Barry Allen Flash 7.792  Greg Berlanti Geoff Johns Andrew Kreisberg  
The Blacklist,46952,Drama Crime Mystery  Raymond Red Reddington FBI wanted fugitives surrenders person FBI Headquarters Washington claims FBI interests bringing dangerous criminals terrorists decades list criminals terrorists matter FBI find know exist Reddington calls Blacklist Reddington co operate insists speak Elizabeth Keen rookie FBI profiler 7.6  Jon Bokenkamp  
The Sopranos,1398,Drama  story New Jersey based Italian American mobster Tony Soprano difficulties faces tries balance conflicting requirements home life criminal organization heads difficulties highlighted ongoing professional relationship psychiatrist Jennifer Melfi features Tony family members Mafia associates prominent roles story arcs notably wife Carmela cousin protégé Christopher Moltisanti 8.6  David Chase  
Charmed,1981,Comedy Drama Mystery Sci-Fi & Fantasy  sisters Prue Piper Phoebe reunite unlock powers Charmed Ones powerful good witches time prophesied destiny protect innocent lives evil beings demons warlocks sister possesses unique magical powers grow evolve attempt maintain normal lives modern day San Francisco 8.187  Constance M. Burge  
Scoop,203599,News Reality Documentary  Scoop comprehensive information programme Television Broadcasts Limited content program mainly based entertainment news personal follow artists interspersed latest trends TVB dramas artists entertainment news content clips rebroadcast day Entertainment Live program broadcast Jade Channel Hong Kong time June broadcast day March broadcast myTV later myTV SUPER provide Program Review 6.714  Cheung Ka-Ling  
Columbo,873,Crime Drama Mystery  Columbo friendly verbose disheveled looking police detective consistently underestimated suspects Despite unprepossessing appearance apparent absentmindedness shrewdly solves cases secures evidence needed indictment formidable eye detail meticulously dedicated approach clear killer late storyline 8.049  Richard Levinson William Link  
CSI: Miami,1620,Drama Mystery Crime  CSI Miami follows Crime Scene Investigators working Miami Dade Police Department use physical evidence similar Las Vegas counterparts solve grisly murders series mixes deduction gritty subject matter character driven drama vein original series CSI franchise Miami CSIs cops scientists second 7.748  Anthony E. Zuiker Ann Donahue Carol Mendelsohn  
Vandaag Inside,154828,Talk   5.1    
Fights Break Sphere,79481,Animation  land magic present land strong rules weak obey land filled alluring treasures beauty filled unforeseen danger years ago Xiao Yan shown talents seen decades suddenly lost powers reputation promise mother sorcery caused lose powers fiancee suddenly shown 8.73  Tian Can Tu Dou  
NCIS,4614,Crime Drama Action & Adventure  murder espionage terrorism stolen submarines team special agents investigates crime shred evidence connected Navy Marine Corps personnel regardless rank position 7.627  Donald P. Bellisario Don McGill  
The Mentalist,5920,Crime Drama Mystery  Patrick Jane celebrity psychic medium uses razor sharp skills observation expertise reading people solve crimes California Bureau Investigation 8.393  Bruno Heller  
Vikings,44217,Action & Adventure Drama War & Politics  adventures Ragnar Lothbrok greatest hero age series tells sagas Ragnar band Viking brothers family rises King Viking tribes fearless warrior Ragnar embodies Norse traditions devotion gods Legend direct descendant Odin god war warriors 8.086  Michael Hirst  
Peaky Blinders,60574,Drama Crime  gangster family epic set Birmingham England centered gang sew razor blades peaks caps fierce boss Tommy Shelby means world 8.546  Steven Knight  
The Vampire Diaries,18165,Drama Sci-Fi & Fantasy  story vampire brothers obsessed girl bears striking resemblance beautiful ruthless vampire knew loved 8.34  Kevin Williamson Julie Plec  
Prison Break,2288,Action & Adventure Crime Drama  political conspiracy innocent man sent death row hope brother makes mission deliberately sent prison order break inside 8.093  Paul T. Scheuring  
SPY x FAMILY,120089,Animation Comedy Action & Adventure  World peace stake secret agent Twilight undergo difficult mission pretend family man Posing loving husband father infiltrate elite school close high profile politician perfect cover wife deadly assassin knows identity adopted daughter telepath 8.602    
The Walking Dead,1402,Action & Adventure Drama Sci-Fi & Fantasy  Sheriff deputy Rick Grimes awakens coma find post apocalyptic world dominated flesh eating zombies sets find family encounters survivors way 8.121  Frank Darabont  
The Rookie,79744,Crime Drama  Starting easy especially small town guy John Nolan life altering incident pursuing dream LAPD officer force oldest rookie met skepticism higher ups walking midlife crisis 8.282  Alexi Hawley  
American Horror Story,1413,Drama Mystery Sci-Fi & Fantasy  anthology horror drama series centering different characters locations including house murderous past asylum witch coven freak hotel farmhouse Roanoke cult apocalypse summer camp 8.146  Ryan Murphy Brad Falchuk  
