name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords
Twin Peaks,The body of Laura Palmer is washed up on a beach near the small Washington state town of Twin Peaks. FBI Special Agent Dale Cooper is called in to investigate her strange demise only to uncover a web of mystery that ultimately leads him deep into the heart of the surrounding woodland and his very own soul.,1920,https://image.tmdb.org/t/p/w500/lA9CNSdo50iQPZ8A2fyVpMvJZAf.jpg,8.299,1814,False,[],[],"['David Lynch', 'Mark Frost']",[],1990.0,"['Drama', 'Mystery']","['body', 'Laura', 'Palmer', 'washed', 'beach', 'near', 'small', 'Washington', 'state', 'town', 'Twin', 'Peaks', 'FBI', 'Special', 'Agent', 'Dale', 'Cooper', 'called', 'investigate', 'strange', 'demise', 'uncover', 'web', 'mystery', 'ultimately', 'leads', 'deep', 'heart', 'surrounding', 'woodland', 'soul']"
Record of Youth,"In a cutthroat world where the life you’re born into decides your success, three aspiring youths are determined to change that perception as they fight for their dreams.",99047,https://image.tmdb.org/t/p/w500/54yTLS5d4OPOuunzOvHlmP82eIT.jpg,8.296,189,False,[],[],"['Ha Myung-hee', 'An Gil-ho']",[],2020.0,['Drama'],"['cutthroat', 'world', 'life', 'born', 'decides', 'success', 'aspiring', 'youths', 'determined', 'change', 'perception', 'fight', 'dreams']"
White Collar,"In exchange for his freedom, charming con artist Neal Caffrey provides his expertise to help straight-man FBI agent Peter Burke catch elusive white-collar criminals.",21510,https://image.tmdb.org/t/p/w500/417XNiGvdzCsG9kDnnQJYaBsIrx.jpg,8.293,1230,False,[],[],['Jeff Eastin'],[],2009.0,"['Crime', 'Drama', 'Mystery']","['exchange', 'freedom', 'charming', 'con', 'artist', 'Neal', 'Caffrey', 'provides', 'expertise', 'help', 'straight', 'man', 'FBI', 'agent', 'Peter', 'Burke', 'catch', 'elusive', 'white', 'collar', 'criminals']"
Gabriela,"Naïve and provocative Gabriela is a raggedy migrant worker who arrives in town to mesmerize all with her playful and simple, yet raw sensuality. Set in 1925, the story unravels in Ilhéus, a quiet northeastern coastal city thriving with cocoa crops and aspirations for progress, even though the traditional ways still rule. ",46162,https://image.tmdb.org/t/p/w500/dOw8Gl2ZcBqiLasDucca5YJ4sBj.jpg,8.292,12,False,[],[],['Walcyr Carrasco'],[],2012.0,"['Comedy', 'Drama', 'Soap']","['Naïve', 'provocative', 'Gabriela', 'raggedy', 'migrant', 'worker', 'arrives', 'town', 'mesmerize', 'playful', 'simple', 'raw', 'sensuality', 'Set', 'story', 'unravels', 'Ilhéus', 'quiet', 'northeastern', 'coastal', 'city', 'thriving', 'cocoa', 'crops', 'aspirations', 'progress', 'traditional', 'ways', 'rule']"
Scam 1992 - The Harshad Mehta Story,"Set in 1980's & 90's Bombay, Scam 1992 follows the life of Harshad Mehta - a stockbroker who single-handedly took the stock market to dizzying heights & his catastrophic downfall. Being directed by National Award-winning filmmaker Hansal Mehta, the series is based on journalist Debashis Basu & Sucheta Dalal's book ""The Scam"".",111188,https://image.tmdb.org/t/p/w500/2mwZEGm4Henyjo9BDg0ZhYKyOfz.jpg,8.29,81,False,[],[],['Hansal Mehta'],[],2020.0,"['Crime', 'Drama']","['Set', 'Bombay', 'Scam', 'follows', 'life', 'Harshad', 'Mehta', 'stockbroker', 'single', 'handedly', 'took', 'stock', 'market', 'dizzying', 'heights', 'catastrophic', 'downfall', 'directed', 'National', 'Award', 'winning', 'filmmaker', 'Hansal', 'Mehta', 'series', 'based', 'journalist', 'Debashis', 'Basu', 'Sucheta', 'Dalal', 'book', 'Scam']"
Wakfu,"Follow Yogu and his friends Amalia, Evangelyne, Tristepin, Ruel and Az as they try to rescue the world of Wakfu from destruction.",64414,https://image.tmdb.org/t/p/w500/lTtEAXGAHPOL7CrAmC33LAwvzva.jpg,8.289,64,False,[],[],[],[],2008.0,"['Animation', 'Action & Adventure', 'Drama', 'Sci-Fi & Fantasy', 'Comedy']","['Follow', 'Yogu', 'friends', 'Amalia', 'Evangelyne', 'Tristepin', 'Ruel', 'Az', 'try', 'rescue', 'world', 'Wakfu', 'destruction']"
Crash Course in Romance,A mother with a heart of gold navigates the cutthroat world of private education when her daughter tries to join a celebrity math instructor's class.,202318,https://image.tmdb.org/t/p/w500/88rQREli2xtoDV6HToJysp71ZL7.jpg,8.288,52,False,[],[],"['Yang Hui-seung', 'Yu Je-won']",[],2023.0,"['Drama', 'Comedy']","['mother', 'heart', 'gold', 'navigates', 'cutthroat', 'world', 'private', 'education', 'daughter', 'tries', 'join', 'celebrity', 'math', 'instructor', 'class']"
Gossip Girl,An exclusive group of privileged teens from a posh prep school on Manhattan's Upper East Side whose lives revolve around the blog of the all-knowing albeit ultra-secretive Gossip Girl.,1395,https://image.tmdb.org/t/p/w500/hvDlmhoImfX5oUYS2gXxsMrpSTB.jpg,8.288,1892,False,[],[],"['Josh Schwartz', 'Stephanie Savage']",[],2007.0,"['Drama', 'Mystery']","['exclusive', 'group', 'privileged', 'teens', 'posh', 'prep', 'school', 'Manhattan', 'Upper', 'East', 'lives', 'revolve', 'blog', 'knowing', 'albeit', 'ultra', 'secretive', 'Gossip', 'Girl']"
Domestic Girlfriend,"Natsuo is a high school boy who is experiencing the crushing despair of unrequited love. To make matters worse, the person he is in love with is his teacher, Hina. In an attempt to lift his spirits, he attends a mixer where he meets a girl named Rui. The two sleep together, expecting never to see one another again, but fate has other plans. His life suddenly becomes more complicated when his father comes home and announces he has remarried a woman with two daughters whom Natsuo has met before: Hina and Rui!",83103,https://image.tmdb.org/t/p/w500/yT5HNeqQaoF4TmmQi3RMj8P7uwZ.jpg,8.286,376,False,[],[],[],[],2019.0,"['Animation', 'Drama']","['Natsuo', 'high', 'school', 'boy', 'experiencing', 'crushing', 'despair', 'unrequited', 'love', 'matters', 'worse', 'person', 'love', 'teacher', 'Hina', 'attempt', 'lift', 'spirits', 'attends', 'mixer', 'meets', 'girl', 'named', 'Rui', 'sleep', 'expecting', 'fate', 'plans', 'life', 'suddenly', 'complicated', 'father', 'comes', 'home', 'announces', 'remarried', 'woman', 'daughters', 'Natsuo', 'met', 'Hina', 'Rui']"
Grimm,"After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms,"" he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.",39351,https://image.tmdb.org/t/p/w500/iOptnt1QHi6bIHmOq6adnZTV0bU.jpg,8.286,2918,False,[],[],"['Jim Kouf', 'Stephen Carpenter', 'David Greenwalt']",[],2011.0,"['Drama', 'Mystery', 'Sci-Fi & Fantasy']","['Portland', 'homicide', 'detective', 'Nick', 'Burkhardt', 'discovers', 'descended', 'elite', 'line', 'criminal', 'profilers', 'known', 'Grimms', 'increasingly', 'finds', 'responsibilities', 'detective', 'odds', 'new', 'responsibilities', 'Grimm']"
